#name: raw data
#device: UH-0000.00.00
#eegchannels: 4
#triggerchannels: 6
#samplingrate: 250
Channel 1,Channel 2,Channel 3,Channel 4,trigger,id,target,nontarget,trial,islast
100187.500,100189.500,100190.000,100194.200,0.000,0.000,0.000,0.000,0.000,0.000
100066.700,100068.600,100071.400,100078.200,0.000,0.000,0.000,0.000,0.000,0.000
99839.900,99843.380,99847.290,99857.920,0.000,0.000,0.000,0.000,0.000,0.000
99878.750,99883.350,99887.750,99899.910,0.000,0.000,0.000,0.000,0.000,0.000
100094.700,100099.400,100104.600,100118.800,0.000,0.000,0.000,0.000,0.000,0.000
100132.400,100137.100,100142.000,100157.200,0.000,0.000,0.000,0.000,0.000,0.000
99968.790,99973.270,99978.380,99993.620,0.000,0.000,0.000,0.000,0.000,0.000
99892.730,99897.510,99901.540,99914.720,0.000,0.000,0.000,0.000,0.000,0.000
99987.850,99991.870,99994.840,100006.600,0.000,0.000,0.000,0.000,0.000,0.000
100055.400,100058.500,100061.200,100069.700,0.000,0.000,0.000,0.000,0.000,0.000
100012.300,100014.000,100015.400,100021.700,0.000,0.000,0.000,0.000,0.000,0.000
99981.610,99982.550,99983.650,99984.770,0.000,0.000,0.000,0.000,0.000,0.000
99998.790,99997.990,99998.080,99996.240,0.000,0.000,0.000,0.000,0.000,0.000
99968.580,99966.740,99965.020,99960.000,0.000,0.000,0.000,0.000,0.000,0.000
99926.140,99923.160,99920.420,99910.950,0.000,0.000,0.000,0.000,0.000,0.000
99993.550,99989.640,99985.650,99973.880,0.000,0.000,0.000,0.000,0.000,0.000
100088.600,100084.000,100079.000,100065.600,0.000,0.000,0.000,0.000,0.000,0.000
100012.400,100007.500,100002.600,99987.480,0.000,0.000,0.000,0.000,0.000,0.000
99848.490,99843.270,99839.000,99823.270,0.000,0.000,0.000,0.000,0.000,0.000
99885.580,99880.940,99876.220,99861.940,0.000,0.000,0.000,0.000,0.000,0.000
100102.000,100097.700,100093.700,100080.900,0.000,0.000,0.000,0.000,0.000,0.000
100141.100,100137.200,100134.000,100123.500,0.000,0.000,0.000,0.000,0.000,0.000
