#name: raw data
#device: UN-0000.00.00
#eegchannels: 8
#triggerchannels: 6
#samplingrate: 250
Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,trigger,id,target,nontarget,trial,islast
100187.900,100189.600,100189.100,100189.400,100190.100,100193.800,100193.700,100194.000,0.000,0.000,0.000,0.000,0.000,0.000
100066.700,100068.500,100068.500,100068.600,100071.600,100078.900,100079.000,100078.700,0.000,0.000,0.000,0.000,0.000,0.000
99840.380,99843.290,99843.370,99843.800,99846.910,99857.210,99857.920,99857.450,0.000,0.000,0.000,0.000,0.000,0.000
99878.520,99882.930,99883.080,99882.880,99887.160,99900.480,99899.640,99900.090,0.000,0.000,0.000,0.000,0.000,0.000
100094.900,100099.900,100100.100,100099.500,100104.800,100118.800,100119.300,100119.300,0.000,0.000,0.000,0.000,0.000,0.000
100132.100,100137.800,100137.000,100137.800,100142.500,100157.300,100157.400,100157.300,0.000,0.000,0.000,0.000,0.000,0.000
99969.080,99973.650,99973.360,99973.240,99978.840,99992.700,99993.280,99992.940,0.000,0.000,0.000,0.000,0.000,0.000
99893.080,99896.630,99897.280,99896.640,99901.940,99915.650,99914.910,99915.340,0.000,0.000,0.000,0.000,0.000,0.000
99987.970,99991.380,99991.610,99990.970,99994.770,100007.000,100007.100,100006.500,0.000,0.000,0.000,0.000,0.000,0.000
100054.800,100057.800,100058.000,100057.900,100060.700,100069.500,100070.300,100070.000,0.000,0.000,0.000,0.000,0.000,0.000
100012.500,100014.600,100013.800,100014.200,100016.000,100021.800,100021.500,100021.300,0.000,0.000,0.000,0.000,0.000,0.000
99982.520,99982.630,99982.350,99982.910,99983.520,99985.620,99984.840,99984.960,0.000,0.000,0.000,0.000,0.000,0.000
99999.160,99998.300,99998.730,99997.890,99997.840,99995.730,99995.660,99995.580,0.000,0.000,0.000,0.000,0.000,0.000
99969.050,99966.560,99966.540,99967.140,99965.230,99959.370,99959.200,99959.940,0.000,0.000,0.000,0.000,0.000,0.000
99925.450,99922.420,99922.720,99923.230,99920.170,99911.210,99910.700,99910.730,0.000,0.000,0.000,0.000,0.000,0.000
99993.860,99989.530,99989.260,99989.720,99985.780,99973.830,99974.200,99973.890,0.000,0.000,0.000,0.000,0.000,0.000
100088.000,100083.500,100083.900,100084.000,100079.000,100066.100,100066.300,100065.600,0.000,0.000,0.000,0.000,0.000,0.000
100012.500,100007.900,100007.800,100007.400,100002.800,99988.220,99987.980,99987.950,0.000,0.000,0.000,0.000,0.000,0.000
99848.390,99843.380,99843.710,99843.790,99838.720,99823.450,99823.700,99823.320,0.000,0.000,0.000,0.000,0.000,0.000
99885.840,99881.470,99880.830,99880.880,99876.170,99862.380,99862.380,99862.270,0.000,0.000,0.000,0.000,0.000,0.000
100102.200,100098.200,100098.000,100097.900,100093.800,100080.900,100081.100,100080.700,0.000,0.000,0.000,0.000,0.000,0.000
100140.200,100136.800,100137.000,100137.500,100134.000,100123.700,100123.400,100123.000,0.000,0.000,0.000,0.000,0.000,0.000
99914.630,99911.980,99911.770,99911.700,99909.580,99902.640,99902.410,99902.590,0.000,0.000,0.000,0.000,0.000,0.000
99793.180,99791.760,99791.520,99791.700,99790.730,99787.100,99787.370,99787.210,0.000,0.000,0.000,0.000,0.000,0.000
99990.160,99990.170,99990.800,99990.800,99990.240,99990.120,99990.890,99990.770,0.000,0.000,0.000,0.000,0.000,0.000
100188.000,100188.900,100189.300,100189.200,100190.000,100194.400,100194.100,100194.500,0.000,0.000,0.000,0.000,0.000,0.000
100066.600,100068.700,100069.000,100069.300,100071.400,100078.700,100078.300,100079.000,0.000,0.000,0.000,0.000,0.000,0.000
99840.180,99844.140,99844.230,99843.610,99847.030,99857.310,99857.630,99857.290,0.000,0.000,0.000,0.000,0.000,0.000
99878.530,99883.090,99883.300,99883.240,99887.720,99900.120,99900.340,99900.230,0.000,0.000,0.000,0.000,0.000,0.000
100095.200,100099.900,100100.000,100099.600,100104.300,100118.400,100119.100,100119.200,0.000,0.000,0.000,0.000,0.000,0.000
100132.900,100137.200,100137.700,100137.300,100142.100,100157.000,100157.200,100157.500,0.000,0.000,0.000,0.000,0.000,0.000
99968.160,99974.010,99973.490,99973.400,99978.090,99993.210,99993.100,99992.890,0.000,0.000,0.000,0.000,0.000,0.000
99892.720,99896.910,99897.110,99897.300,99901.300,99915.600,99914.760,99915.670,0.000,0.000,0.000,0.000,0.000,0.000
99987.480,99991.730,99991.040,99991.800,99995.590,100007.200,100006.900,100006.600,0.000,0.000,0.000,0.000,0.000,0.000
