#name: raw data
#device: UN-0000.00.00
#eegchannels: 8
#triggerchannels: 6
#samplingrate: 250
Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,trigger,id,target,nontarget,trial,islast
99886.010,99881.560,99881.320,99881.110,99876.340,99861.770,99861.760,99862.020,0.000,0.000,0.000,0.000,0.000,0.000
100102.300,100097.900,100097.500,100097.600,100093.200,100080.500,100080.500,100080.700,0.000,0.000,0.000,0.000,0.000,0.000
100140.300,100136.800,100137.700,100137.100,100133.700,100124.000,100123.900,100123.900,0.000,0.000,0.000,0.000,0.000,0.000
99914.620,99911.970,99912.340,99912.190,99909.780,99902.710,99902.310,99901.830,0.000,0.000,0.000,0.000,0.000,0.000
99793.310,99791.650,99791.760,99791.740,99790.400,99786.840,99787.110,99786.570,0.000,0.000,0.000,0.000,0.000,0.000
99990.530,99990.040,99990.990,99990.090,99990.150,99990.870,99990.900,99990.110,0.000,0.000,0.000,0.000,0.000,0.000
100187.800,100189.300,100189.100,100189.000,100190.100,100194.300,100194.100,100194.300,0.000,0.000,0.000,0.000,0.000,0.000
100066.200,100069.400,100069.300,100069.500,100071.200,100078.600,100078.900,100079.100,0.000,0.000,0.000,0.000,0.000,0.000
99839.950,99843.480,99843.880,99844.100,99847.340,99857.600,99856.990,99857.680,0.000,0.000,0.000,0.000,0.000,0.000
99878.760,99883.460,99883.540,99883.030,99887.860,99900.380,99900.240,99900.450,0.000,0.000,0.000,0.000,0.000,0.000
100095.200,100100.100,100099.700,100099.400,100104.500,100118.500,100119.200,100118.400,0.000,0.000,0.000,0.000,0.000,0.000
100132.700,100137.600,100137.200,100137.300,100142.600,100157.600,100157.700,100157.000,0.000,0.000,0.000,0.000,0.000,0.000
99968.470,99973.120,99974.020,99973.970,99978.190,99992.730,99993.130,99993.440,0.000,0.000,0.000,0.000,0.000,0.000
99892.730,99897.370,99896.690,99897.090,99901.960,99914.880,99915.450,99914.960,0.000,0.000,0.000,0.000,0.000,0.000
